keyword,genre,video_id,title,channel,published_at,view_count,like_count,comment_count,url,like_rate,comment_rate
펜트하우스,불륜복수,RiVm9xO8Y3k,[펜트하우스3] '시즌3 영상 최초공개! 과몰입 해제하게 만드는 비서들과 펜트 키즈들!' / 'The Penthouse3' Special | SBS NOW | SBS NOW,SBS ,2021-06-03T04:40:34Z,3238083,69305,2004,https://www.youtube.com/watch?v=RiVm9xO8Y3k,2.1403095596993653,0.06188846919612623
펜트하우스,불륜복수,PdgSV5SW7Xs,펜트하우스 13회 요약💥헤라펠리스 내부에 민설아를 죽인 범인이 있다? #펜트하우스 #ThePenthouse #SBSdrama,SBS 스브스 Drama,2023-09-06T08:00:26Z,127039,672,25,https://www.youtube.com/watch?v=PdgSV5SW7Xs,0.5289714182258991,0.019678996213761128
펜트하우스,불륜복수,r_hpw_7Ht4E,[펜트하우스] '배우들이 모여서 주단태 키스신을 본다면? 스페셜 방송 하이라이트' / 'The Penthouse' Special Highlight | SBS NOW,SBS ,2021-01-13T08:31:51Z,4385047,48921,1586,https://www.youtube.com/watch?v=r_hpw_7Ht4E,1.115632283986922,0.036168369461034286
펜트하우스,불륜복수,mo30t3OpqWE,[펜트하우스2] '엄마가 미안해.. 배로나를 잃은 오윤희의 뜨거운 눈물' / 'The Penthouse2' Special | SBS NOW,SBS ,2021-03-09T11:53:23Z,11405054,144060,5734,https://www.youtube.com/watch?v=mo30t3OpqWE,1.2631242254530317,0.050275956606606165
펜트하우스,불륜복수,Kxr95rvHXVI,"펜트하우스 캐릭터별 최후 엔딩만 모아봄,, 진짜 아직도 엔딩 소름ㄷㄷ💦 #펜트하우스3 #SBScatch",SBS Catch,2021-09-15T04:00:06Z,2844448,25774,1509,https://www.youtube.com/watch?v=Kxr95rvHXVI,0.9061160548549314,0.05305071493660633
펜트하우스,불륜복수,Rx_9OE9nl9k,[펜트하우스2] 2회 요약 '서진아 뭐 하러 아등바등해~이미 윤희가 다 불렀는데ㅋ ' / 'The Penthouse2' Special | SBS NOW,SBS ,2021-02-25T07:12:23Z,6938713,49398,1857,https://www.youtube.com/watch?v=Rx_9OE9nl9k,0.711918766491711,0.02676288816096011
펜트하우스,불륜복수,To29hLi96VY,[펜트하우스] 스페셜 '심수련의 숨겨진 딸 주혜인이 살아 돌아왔다!' / 'The Penthouse' Special | SBS NOW,SBS ,2020-12-24T03:30:03Z,3722941,27512,1492,https://www.youtube.com/watch?v=To29hLi96VY,0.7389856567697419,0.04007584326477374
펜트하우스,불륜복수,Nry11ORQtWI,펜트하우스3 9회 요약 | N과 S극처럼 떨어질 수 없는 단태❤️서진 나락 갈 때도 함께하자 #펜트하우스3 #ThePenthouse3 #SBSdrama,SBS 스브스 Drama,2024-05-16T08:00:12Z,396562,2097,60,https://www.youtube.com/watch?v=Nry11ORQtWI,0.5287949929645301,0.015130042717153937
펜트하우스,불륜복수,u--XTkowg64,🔥개 쎈 엄빠 사이에서 깡 하나로 이겨먹는 주석경.ZIP🔥 #펜트하우스 #모았캐치 #SBSCatch,SBS Catch,2022-09-06T07:00:29Z,2948138,15237,620,https://www.youtube.com/watch?v=u--XTkowg64,0.5168346936269606,0.021030223144235444
펜트하우스,불륜복수,8NHsjz5NdCc,펜트하우스3 2회 요약 | 이기적인 욕망이 불러온 재앙☠️ #펜트하우스3 #ThePenthouse3 #SBSdrama,SBS 스브스 Drama,2024-04-19T08:00:09Z,335732,1860,80,https://www.youtube.com/watch?v=8NHsjz5NdCc,0.5540133201482135,0.023828529898847893
펜트하우스,불륜복수,cGuzBuK3zvs,[펜트하우스] 4회 요약 '추락사 한 소녀의 죽음을 은폐하려는 상류층 사람들' / 'The Penthouse' Special | SBS NOW,SBS ,2020-11-05T08:00:05Z,2277926,18592,1646,https://www.youtube.com/watch?v=cGuzBuK3zvs,0.8161810348536345,0.07225871253060899
펜트하우스,불륜복수,KUHazeiwEjk,"펜트하우스 2회 요약 | 너 따위가 어딜! 무시는 기본, 괴롭힘은 옵션 #펜트하우스 #ThePenthouse #SBSdrama",SBS 스브스 Drama,2023-08-26T08:00:07Z,131712,867,45,https://www.youtube.com/watch?v=KUHazeiwEjk,0.6582543731778425,0.03416545189504373
펜트하우스,불륜복수,7lT8gD9oLlk,190평 강남 슈퍼펜트하우스 실물공개 분노의질주 나올법한 초대형 테라스만 90평 [폴스타인 논현] 강남 하이엔드 고급주택  ✨,굿파트너TV,2024-12-10T13:28:54Z,515345,2911,87,https://www.youtube.com/watch?v=7lT8gD9oLlk,0.5648643141972853,0.016881894653096467
펜트하우스,불륜복수,XgbUenq6mMQ,펜트하우스2 1회 요약 | 모든 게 완벽해 보였는데... 다시 시작된 비극🩸 #펜트하우스2 #ThePenthouse2 #SBSdrama,SBS 스브스 Drama,2024-03-07T08:00:17Z,312525,1770,99,https://www.youtube.com/watch?v=XgbUenq6mMQ,0.56635469162467,0.03167746580273578
펜트하우스,불륜복수,DEEcrk-pAX0,펜트하우스 8회 요약🥸 미스터’리’ 구호동의 등장! 더 단단해지는 수련과 윤희👭 #펜트하우스 #ThePenthouse #SBSdrama,SBS 스브스 Drama,2023-09-01T08:00:06Z,135951,747,31,https://www.youtube.com/watch?v=DEEcrk-pAX0,0.5494626740516804,0.022802333193577096
펜트하우스,불륜복수,ZuTXHIRaTZE,[요약] 휴지 없인 못 보는 〈펜트하우스2〉 눈물 버튼💧 모음! 😭편집자도 오열 중😭 #펜트하우스2 #SBScatch,SBS Catch,2021-03-25T01:30:01Z,4966426,56998,1750,https://www.youtube.com/watch?v=ZuTXHIRaTZE,1.1476663500070272,0.03523660676711986
