video_id,title,published_at,duration,duration_sec,view_count,like_count,comment_count,like_rate,comment_rate,corner,is_middleform,collected_at
l2-kp3iwdFY,SNL 코리아 시즌5 | 임시완 편 하이라이트 | 당신은 남사친이 아닙니다 | 쿠팡플레이 | 쿠팡,2024-03-03T09:00:24Z,PT4M44S,284,902968,6446,243,0.7139,0.0269,기타SNL,False,2026-05-19T03:49:37.017764+00:00
A-UX4sy4n1M,SNL 코리아 시즌5 | 임시완 편 하이라이트 | MZ오피스 in 대기업 | 쿠팡플레이 | 쿠팡,2024-03-03T09:00:07Z,PT4M19S,259,2364970,13353,534,0.5646,0.0226,기타SNL,False,2026-05-19T03:49:37.017782+00:00
RElKAesYJ-Y,SNL 코리아 | 임시완 편 | 3월 2일(토) 저녁 8시 | 쿠팡플레이 | 쿠팡,2024-03-02T05:15:21Z,PT1M9S,69,45989,672,64,1.4612,0.1392,기타SNL,False,2026-05-19T03:49:37.017800+00:00
NK7wGIoJolo,SNL 코리아 | 소년시대로 회귀한 AI 크루 | 쿠팡플레이 | 쿠팡,2024-02-20T23:00:12Z,PT41S,41,1073987,8285,524,0.7714,0.0488,기타SNL,False,2026-05-19T03:49:37.017911+00:00
E9u0SdcIX1s,[30분 무한재생] SNL 코리아 시즌4 | 다니엘 헤니 편 | 극락 주의⚠️ 헤니 리믹스 | 쿠팡플레이 코미디쇼 | 쿠팡,2023-09-23T11:00:09Z,PT30M6S,1806,138277,666,71,0.4816,0.0513,기타SNL,False,2026-05-19T03:49:37.773527+00:00
di3Qs7lm3Zg,SNL 코리아 시즌4 | 지예은 스페셜 | 쿠팡플레이 코미디쇼 | 쿠팡,2023-09-21T10:00:35Z,PT13M16S,796,5095670,26660,1012,0.5232,0.0199,기타SNL,True,2026-05-19T03:49:37.773546+00:00
eKnlC1wdess,SNL 코리아 시즌4 | 다니엘 헤니 편 | 선데이90 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-21T09:30:20Z,PT53S,53,155435,2195,38,1.4122,0.0244,기타SNL,False,2026-05-19T03:49:37.773564+00:00
SFlJfPSw36w,SNL 코리아 시즌4 | 다니엘 헤니 편 | 오프닝 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-21T09:30:15Z,PT56S,56,112065,1073,22,0.9575,0.0196,기타SNL,False,2026-05-19T03:49:37.773582+00:00
bE6U-3bv9bo,SNL 코리아 시즌4 | 다니엘 헤니 편 | 사랑해 스튜디오 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-21T09:30:11Z,PT34S,34,2426726,27951,544,1.1518,0.0224,기타SNL,False,2026-05-19T03:49:37.773600+00:00
Pq5Bw3KXTO4,SNL 코리아 시즌4 | 다니엘 헤니 편 | 내 귀에 도청장치 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-21T09:30:08Z,PT32S,32,173654,2304,54,1.3268,0.0311,기타SNL,False,2026-05-19T03:49:37.773635+00:00
